Timestamp,AHU-2 AvgCcoilTmp,AHU-2 AvgMaTmp,AHU-2 ChwEnTmp,AHU-2 ChwVlvPos,AHU-2 MaTmp1,AHU-2 OaFl,AHU-2 OaTmp,AHU-2 SaFanASts,AHU-2 SaFanBSts,AHU-2 SaFanCSts,AHU-2 SaFanDSts,AHU-2 SaFanESts,AHU-2 SaFanFSts,AHU-2 SaFl,AHU-2 SaTmp
2025-01-01 00:00:00,59.41538619995117,66.28987884521484,35.0,7.624305725097656,66.0105209350586,146.25,53.130001068115234,1.0,1.0,1.0,1.0,1.0,1.0,14376.08203125,61.399986267089844
2025-01-01 00:15:00,58.56153106689453,66.15081787109375,35.0,0.0,65.96314239501953,146.25,52.810001373291016,1.0,1.0,1.0,1.0,1.0,1.0,14283.84765625,59.60002517700195
2025-01-01 00:30:00,62.04617691040039,66.0105209350586,35.0,5.511207580566406,65.86842346191406,130.0,52.05514907836914,1.0,1.0,1.0,1.0,1.0,1.0,13910.71484375,62.32305145263672
2025-01-01 00:45:00,57.01539611816406,65.91580200195312,35.0,1.837432861328125,65.678955078125,6266.0,51.779998779296875,1.0,1.0,1.0,1.0,1.0,1.0,13411.806640625,59.3692741394043
2025-01-01 01:00:00,59.069244384765625,65.70262145996094,35.0,0.01847076416015625,65.53681945800781,139.75,51.709999084472656,1.0,1.0,1.0,1.0,1.0,1.0,13910.71484375,59.923099517822266
2025-01-01 01:15:00,62.023094177246094,65.60790252685547,35.0,6.576839447021484,65.39476013183594,6662.5,51.130001068115234,1.0,1.0,1.0,1.0,1.0,1.0,15168.46484375,62.553836822509766
2025-01-01 01:30:00,57.961544036865234,59.64613342285156,35.0,4.283088684082031,57.984642028808594,14017.2509765625,50.939998626708984,1.0,1.0,1.0,1.0,1.0,1.0,12820.6650390625,60.20001220703125
2025-01-01 01:45:00,57.15385437011719,63.56926345825195,35.0,0.0,64.30770874023438,3269.500244140625,50.61000061035156,1.0,1.0,1.0,1.0,1.0,1.0,13537.5830078125,58.76925277709961
2025-01-01 02:00:00,57.061561584472656,61.65385437011719,35.0,0.0,61.676971435546875,4342.0,50.45000076293945,1.0,1.0,1.0,1.0,1.0,1.0,14828.8720703125,58.723087310791016
2025-01-01 02:15:00,57.08460998535156,58.169227600097656,35.0,1.6518707275390625,56.600013732910156,14784.2490234375,50.31999969482422,1.0,1.0,1.0,1.0,1.0,1.0,13038.6748046875,59.507694244384766
2025-01-01 02:30:00,60.06157302856445,62.16154861450195,35.0,6.603984832763672,62.0000114440918,2522.0,50.25,1.0,1.0,1.0,1.0,1.0,1.0,13910.71484375,61.63077163696289
2025-01-01 02:45:00,60.75385284423828,63.710716247558594,35.0,2.099925994873047,64.7789535522461,165.75,50.040000915527344,1.0,1.0,1.0,1.0,1.0,1.0,14749.21484375,61.446189880371094
2025-01-01 03:00:00,58.81538009643555,61.053863525390625,35.0,0.0,61.676971435546875,1043.25,49.72999954223633,1.0,1.0,1.0,1.0,1.0,1.0,13445.34765625,59.830806732177734
2025-01-01 03:15:00,56.76155090332031,58.35386657714844,35.0,0.0418243408203125,57.3384895324707,6812.0,49.40999984741211,1.0,1.0,1.0,1.0,1.0,1.0,14250.3076171875,59.18461990356445
2025-01-01 03:30:00,60.84616470336914,61.70001983642578,35.0,7.190616607666016,61.815391540527344,903.5,49.31999969482422,1.0,1.0,1.0,1.0,1.0,1.0,13118.33203125,62.046142578125
2025-01-01 03:45:00,60.038475036621094,60.26924133300781,35.0,0.4847259521484375,60.615379333496094,11979.5,49.29999923706055,1.0,1.0,1.0,1.0,1.0,1.0,13663.357421875,60.84616470336914
2025-01-01 04:00:00,57.24616241455078,61.076927185058594,35.0,0.0,61.72309875488281,367.25,49.16999816894531,1.0,1.0,1.0,1.0,1.0,1.0,14581.5146484375,58.76925277709961
2025-01-01 04:15:00,59.53077697753906,59.09232711791992,35.0,5.755626678466797,57.75386047363281,15697.5,48.66999816894531,1.0,1.0,1.0,1.0,1.0,1.0,12946.4404296875,61.261566162109375
2025-01-01 04:30:00,61.07693099975586,62.71542739868164,35.0,3.572235107421875,64.07691955566406,146.25,48.52000045776367,1.0,1.0,1.0,1.0,1.0,1.0,13818.48046875,61.86151885986328
2025-01-01 04:45:00,57.68463134765625,59.18463897705078,35.0,0.0,59.32307434082031,182.0,47.64554214477539,1.0,1.0,1.0,1.0,1.0,1.0,13319.572265625,58.861507415771484
2025-01-01 05:00:00,59.73847961425781,61.95386505126953,35.0,0.11531448364257812,62.73845672607422,7777.24951171875,47.43000030517578,1.0,1.0,1.0,1.0,1.0,1.0,13332.150390625,60.476924896240234
2025-01-01 05:15:00,59.0,57.10770797729492,35.0,4.841449737548828,55.6307487487793,18096.0,47.40999984741211,1.0,1.0,1.0,1.0,1.0,1.0,13910.71484375,60.89229202270508
2025-01-01 05:30:00,60.823097229003906,61.10000991821289,35.0,2.4466590881347656,62.3692512512207,4621.5,46.849998474121094,1.0,1.0,1.0,1.0,1.0,1.0,13571.1220703125,61.58460998535156
2025-01-01 05:45:00,58.19231033325195,59.876953125,35.0,0.0,61.21540451049805,1361.75,46.380001068115234,1.0,1.0,1.0,1.0,1.0,1.0,13617.2392578125,59.23078155517578
2025-01-01 06:00:00,58.37691116333008,56.4384765625,35.0,4.2136383056640625,53.96920394897461,16363.7490234375,46.220001220703125,1.0,1.0,1.0,1.0,1.0,1.0,14661.1728515625,60.476924896240234
